model.dropout,model.hidden_dim,model.num_layers,model.rgcn_bases,train.epochs,train.optimizer.lr,train.optimizer.weight_decay,val_auprc,trial
0.2,300,1,6,80,0.0009,0.05,0.18805247646127513,494
0.2,256,1,6,80,0.0011,0.05,0.18667003333685406,436
0.1,256,2,6,80,0.0013,0.01,0.1865831394021169,99
0.3,300,2,4,80,0.0013,0.01,0.1863806197167902,869
0.15,300,2,4,80,0.0009,0.05,0.18624292237707069,324
0.15,300,2,6,80,0.0007,0.05,0.18588562204297596,332
0.15,300,3,6,80,0.0007,0.01,0.1857746670578007,353
0.25,256,2,4,80,0.0009,0.01,0.18576648011634417,625
0.2,256,2,6,80,0.0009,0.05,0.1857559773686696,454
0.15,300,2,4,80,0.0011,0.05,0.18516715765551303,326
0.2,300,2,6,80,0.0011,0.01,0.18516359015583092,517
0.3,256,1,6,80,0.0011,0.05,0.1849794893740102,796
0.1,300,2,6,80,0.0013,0.01,0.18494438781756262,159
0.3,300,2,4,80,0.0011,0.01,0.1847454249202548,867
0.2,256,1,4,80,0.0013,0.01,0.18473591242918208,429
0.2,300,2,6,80,0.0009,0.05,0.18467765250396315,514
0.1,256,2,6,80,0.0011,0.05,0.1844775096719189,96
0.2,256,2,6,80,0.0013,0.01,0.18446118885910898,459
0.15,300,1,6,80,0.0013,0.05,0.1843182353826891,318
0.1,300,2,6,80,0.0011,0.05,0.1842445111293858,156
0.1,300,3,6,80,0.0005,0.01,0.18420006380591009,171
0.1,256,3,4,80,0.0013,0.05,0.18414618625207957,108
0.15,300,2,4,80,0.0013,0.01,0.1840227860502003,329
0.1,300,2,6,80,0.0013,0.05,0.18397561293373782,158
0.2,256,3,4,80,0.0013,0.05,0.18395064312304665,468
0.3,256,1,4,80,0.0009,0.01,0.1838746616678204,785
0.1,256,3,4,80,0.0013,0.01,0.18382057070586022,109
0.2,256,1,6,80,0.0007,0.01,0.18379864722187117,433
0.3,300,1,6,80,0.0011,0.05,0.1837344921751602,856
0.15,300,1,6,80,0.0007,0.05,0.18360497820634164,312
0.25,300,2,4,80,0.0007,0.05,0.18357972949330315,682
0.15,256,2,6,80,0.0007,0.01,0.18337725317493664,273
0.15,256,2,6,80,0.0013,0.01,0.18330485852683157,279
0.1,256,1,6,80,0.0011,0.05,0.18327831179272774,76
0.15,300,2,6,80,0.0013,0.01,0.18327556114713378,339
0.15,256,2,4,80,0.0009,0.01,0.18322687867048984,265
0.3,256,2,4,80,0.0011,0.01,0.18308765318802556,807
0.2,300,2,6,80,0.0005,0.05,0.18308696015308004,510
0.15,300,2,6,80,0.0009,0.01,0.1830544795043227,335
0.25,300,1,4,80,0.0011,0.05,0.18298987164708289,666
0.2,300,2,4,80,0.0011,0.01,0.1829282882240755,507
0.2,300,2,6,80,0.0013,0.05,0.1829119156494897,518
0.2,256,2,6,80,0.0005,0.01,0.1828950213817257,451
0.25,300,1,6,80,0.0009,0.01,0.18284059462474933,675
0.25,256,2,4,80,0.0013,0.01,0.1827900458979106,629
0.25,256,2,6,80,0.0011,0.01,0.18278082422840528,637
0.15,300,3,6,80,0.0011,0.01,0.1827153558965814,357
0.25,300,1,6,80,0.0007,0.01,0.18271068410958435,673
0.15,300,3,4,80,0.0009,0.05,0.1827085587627477,344
0.2,300,3,4,80,0.0009,0.01,0.18259338035091588,525
0.2,300,3,6,80,0.0013,0.01,0.18253687692584425,539
0.2,300,2,4,80,0.0005,0.05,0.1825333987476734,500
0.1,300,2,4,80,0.0009,0.01,0.18245565575706624,145
0.25,300,3,4,80,0.0013,0.05,0.18244403849654187,708
0.2,256,2,6,80,0.0013,0.05,0.18240835631558103,458
0.1,300,2,4,80,0.0011,0.01,0.18239469752423362,147
0.1,300,2,6,80,0.0007,0.05,0.18239301170430683,152
0.2,256,2,6,80,0.0011,0.05,0.18238845836378534,456
0.15,300,2,4,80,0.0007,0.05,0.18238702275967247,322
0.25,256,2,4,80,0.0009,0.05,0.18238331181295359,624
0.1,256,2,6,80,0.0007,0.01,0.18234164346486514,93
0.1,256,2,4,80,0.0009,0.01,0.18229566776699088,85
0.1,256,3,6,80,0.0013,0.01,0.18229546796009582,119
0.25,300,1,6,80,0.0009,0.05,0.18227307078442273,674
0.1,256,3,6,80,0.0011,0.01,0.18222094214693707,117
0.15,256,2,6,80,0.0011,0.01,0.18221315663849963,277
0.1,300,1,4,80,0.0013,0.05,0.18220447566067888,128
0.25,300,2,6,80,0.0011,0.05,0.18216912048201483,696
0.15,256,2,4,80,0.0011,0.05,0.1821612267519177,266
0.25,300,3,4,80,0.0009,0.01,0.18214070583354147,705
0.25,256,3,6,80,0.0009,0.05,0.18211107746816552,654
0.2,300,2,4,80,0.0005,0.01,0.18202923470408508,501
0.25,300,2,4,80,0.0013,0.01,0.1820275902751488,689
0.15,300,1,6,80,0.0011,0.01,0.18201778884409464,317
0.15,256,3,4,80,0.0011,0.01,0.18201748138927326,287
0.2,256,1,6,80,0.0007,0.05,0.18199527349600464,432
0.15,256,3,4,80,0.0011,0.05,0.18194929594259318,286
0.1,300,2,4,80,0.0007,0.05,0.1819098789745141,142
0.3,256,2,4,80,0.0013,0.05,0.1818720000074312,808
0.3,256,2,6,80,0.0009,0.01,0.1818640436758865,815
0.1,256,2,6,80,0.0005,0.01,0.18185671956946964,91
0.3,300,2,6,80,0.0007,0.05,0.1817828458414331,872
0.1,300,1,4,80,0.0009,0.01,0.1817460619325651,125
0.25,300,1,6,80,0.0013,0.01,0.18173964155168526,679
0.15,256,1,6,80,0.0009,0.05,0.18173511308784318,254
0.1,256,2,6,80,0.0005,0.05,0.18166709937729864,90
0.15,300,2,6,80,0.0005,0.05,0.18164849523440724,330
0.25,256,2,6,80,0.0009,0.05,0.18162611996219935,634
0.2,256,2,6,80,0.0011,0.01,0.1815992501430546,457
0.2,300,1,4,80,0.0009,0.05,0.18149231461145765,484
0.2,256,3,4,80,0.0009,0.01,0.1814800666321648,465
0.25,300,1,6,80,0.0013,0.05,0.18147432949865022,678
0.25,256,2,4,80,0.0007,0.05,0.18146977417260574,622
0.25,300,1,6,80,0.0011,0.01,0.18146952133246017,677
0.25,256,1,6,80,0.0007,0.01,0.18146017877365855,613
0.1,300,1,4,80,0.0009,0.05,0.1814400685940123,124
0.15,256,2,4,80,0.0011,0.01,0.1813984828724407,267
0.3,256,1,4,80,0.0013,0.05,0.1813883120828206,788
0.3,300,2,6,80,0.0009,0.05,0.18138730397236613,874
0.1,256,2,4,80,0.0013,0.01,0.18138497523547406,89
0.2,300,2,4,80,0.0007,0.05,0.18137125291898562,502
0.15,256,2,4,80,0.0007,0.05,0.181370969687891,262
0.1,300,2,6,80,0.0005,0.05,0.1813385109943179,150
0.1,300,3,6,80,0.0011,0.01,0.18133760597364254,177
0.1,300,2,6,80,0.0007,0.01,0.1813351441034195,153
0.1,300,2,4,80,0.0005,0.05,0.18131423126969293,140
0.3,256,2,4,80,0.0007,0.05,0.18131311822892227,802
0.25,300,2,4,80,0.0011,0.01,0.18129831232815571,687
0.1,256,2,6,80,0.0009,0.01,0.18129813044004475,95
0.15,300,1,4,80,0.0011,0.05,0.18129699114487718,306
0.15,300,3,6,80,0.0005,0.01,0.1812757424609167,351
0.25,300,2,6,80,0.0005,0.05,0.18122375110015854,690
0.1,256,3,6,80,0.0013,0.05,0.18121702672477658,118
0.15,256,1,6,80,0.0005,0.01,0.18121449598046435,251
0.15,256,2,6,80,0.0013,0.05,0.18119008161185018,278
0.15,300,3,4,80,0.0007,0.01,0.18117874308809528,343
0.1,256,3,6,80,0.0011,0.05,0.1811688402161094,116
0.15,256,1,6,80,0.0013,0.05,0.18113810621671705,258
0.15,300,2,6,80,0.0007,0.01,0.18112342563519473,333
0.15,256,1,4,80,0.0011,0.05,0.1810943652689957,246
0.2,256,2,6,80,0.0009,0.01,0.18108682315800242,455
0.2,256,3,6,80,0.0013,0.05,0.1810563628971569,478
0.2,256,2,4,80,0.0011,0.01,0.18103415593853522,447
0.25,300,2,6,80,0.0013,0.01,0.18103284651380075,699
0.25,256,2,4,80,0.0013,0.05,0.18100717570828706,628
0.25,256,1,4,80,0.0013,0.05,0.18098733009485293,608
0.3,300,1,6,80,0.0005,0.05,0.18097426608645756,850
0.15,300,3,4,80,0.0011,0.05,0.18090918941210493,346
0.3,300,2,6,80,0.0005,0.01,0.18086237747475933,871
0.25,256,2,4,80,0.0011,0.01,0.18085801829868675,627
0.1,300,1,6,80,0.0009,0.05,0.18081797458867546,134
0.25,256,2,6,80,0.0009,0.01,0.1808143847953249,635
0.1,128,2,6,80,0.0013,0.01,0.18079910492323978,39
0.1,300,3,6,80,0.0013,0.05,0.18077455234940937,178
0.25,256,1,4,80,0.0009,0.01,0.1807234208120577,605
0.3,256,1,6,80,0.0013,0.01,0.1807214905310629,799
0.2,300,3,4,80,0.0011,0.01,0.18070256968082754,527
0.1,256,2,6,80,0.0009,0.05,0.18065917790658098,94
0.2,300,3,4,80,0.0007,0.01,0.18062696177602772,523
0.3,300,2,4,80,0.0011,0.05,0.18061545985326666,866
0.25,300,1,6,80,0.0011,0.05,0.18060046570176375,676
0.15,256,3,4,80,0.0009,0.05,0.1805888838985944,284
0.1,256,3,4,80,0.0009,0.05,0.18055433561969725,104
0.15,256,2,6,80,0.0011,0.05,0.18055331480725947,276
0.15,300,1,4,80,0.0013,0.01,0.18055077667860103,309
0.2,300,1,6,80,0.0011,0.05,0.18052905344180586,496
0.2,256,1,6,80,0.0009,0.01,0.18051006119316432,435
0.3,300,1,4,80,0.0009,0.01,0.18043807693085884,845
0.2,256,3,6,80,0.0011,0.05,0.18040320471125101,476
0.2,300,2,4,80,0.0013,0.05,0.18038830916876403,508
0.1,300,3,4,80,0.0005,0.01,0.18036093739937026,161
0.15,256,1,6,80,0.0011,0.01,0.18035350120056481,257
0.15,300,2,6,80,0.0009,0.05,0.1803508335144861,334
0.1,256,3,6,80,0.0005,0.01,0.1802964587498373,111
0.2,300,1,6,80,0.0007,0.01,0.18028503084132186,493
0.1,300,2,6,80,0.0009,0.01,0.1802637887627961,155
0.1,256,3,4,80,0.0011,0.05,0.18022530462883002,106
0.15,256,2,4,80,0.0013,0.05,0.18016623950636473,268
0.25,256,2,6,80,0.0011,0.05,0.18014503311447133,636
0.25,256,1,6,80,0.0009,0.01,0.18012887025024707,615
0.1,300,2,4,80,0.0005,0.01,0.18011860719488476,141
0.3,300,1,6,80,0.0007,0.05,0.1801117438710055,852
0.2,300,2,4,80,0.0009,0.01,0.18006673832221054,505
0.3,256,2,4,80,0.0013,0.01,0.18006416765129074,809
0.1,300,1,6,80,0.0013,0.01,0.18006320505185291,139
0.25,300,2,6,80,0.0011,0.01,0.180057095081954,697
0.1,256,1,6,80,0.0007,0.05,0.18001934908506223,72
0.2,256,2,4,80,0.0013,0.01,0.179987126577829,449
0.15,300,2,4,80,0.0005,0.05,0.17998353977636825,320
0.15,300,3,6,80,0.0011,0.05,0.17997960051871914,356
0.3,256,2,6,80,0.0011,0.05,0.1799782784668248,816
0.1,256,2,4,80,0.0009,0.05,0.17997618757944422,84
0.25,256,2,4,80,0.0007,0.01,0.1799691148661149,623
0.3,256,2,4,80,0.0011,0.05,0.1799336955819346,806
0.3,256,2,6,80,0.0005,0.05,0.1799296471830644,810
0.1,128,2,6,80,0.0013,0.05,0.17991698420558336,38
0.15,256,1,6,80,0.0013,0.01,0.17990542223891368,259
0.1,256,2,6,80,0.0007,0.05,0.17989669495973207,92
0.1,300,3,6,80,0.0005,0.05,0.17989375622911014,170
0.1,300,1,6,80,0.0007,0.05,0.17988982962620614,132
0.1,300,3,4,80,0.0013,0.05,0.1798575872393811,168
0.25,300,2,6,80,0.0009,0.01,0.17983305901229046,695
0.2,300,1,4,80,0.0007,0.01,0.1798201674027439,483
0.1,128,3,6,80,0.0013,0.01,0.17979445260839155,59
0.15,256,3,6,80,0.0011,0.05,0.1797827738854828,296
0.2,256,3,6,80,0.0007,0.01,0.17974343121757952,473
0.15,256,3,6,80,0.0009,0.05,0.1797103890293849,294
0.15,300,1,6,80,0.0013,0.01,0.1797035597474753,319
0.3,256,1,6,80,0.0013,0.05,0.17968863035305394,798
0.1,300,3,4,80,0.0007,0.01,0.1796819060876473,163
0.25,256,2,6,80,0.0007,0.01,0.1796597870026348,633
0.25,300,3,4,80,0.0011,0.01,0.17964861597901785,707
0.15,300,1,6,80,0.0005,0.05,0.17963361484352852,310
0.2,128,2,6,80,0.0013,0.01,0.17961508179325844,399
0.2,256,1,6,80,0.0013,0.05,0.17960672993873666,438
0.2,256,1,4,80,0.0013,0.05,0.1795915115173533,428
0.25,300,2,6,80,0.0013,0.05,0.17956068656560326,698
0.15,256,2,4,80,0.0013,0.01,0.17956027248712125,269
0.2,256,2,4,80,0.0007,0.01,0.17955293612149162,443
0.2,300,3,4,80,0.0005,0.05,0.17951524862213125,520
0.2,300,2,6,80,0.0007,0.05,0.17951515890410102,512
0.2,300,3,6,80,0.0009,0.01,0.1795083376839694,535
0.2,300,3,6,80,0.0011,0.01,0.17950774663529365,537
0.15,300,2,4,80,0.0011,0.01,0.17947595693323393,327
0.15,128,2,6,80,0.0007,0.05,0.1794484946006475,212
0.1,300,3,6,80,0.0011,0.05,0.17943858104020394,176
0.1,300,2,6,80,0.0009,0.05,0.1793992968202151,154
0.1,256,3,4,80,0.0007,0.05,0.1793968184585622,102
0.1,256,3,4,80,0.0011,0.01,0.17929563627710182,107
0.1,128,2,4,80,0.0013,0.01,0.17929028023852894,29
0.15,256,3,6,80,0.0013,0.05,0.17928063525189342,298
0.1,300,3,4,80,0.0011,0.05,0.17927593574671144,166
0.1,300,3,4,80,0.0009,0.01,0.1792532114841017,165
0.2,300,1,4,80,0.0013,0.01,0.17924107952821705,489
0.15,256,1,4,80,0.0009,0.05,0.17921735212615547,244
0.15,300,3,4,80,0.0013,0.01,0.1791358004271563,349
0.15,300,2,6,80,0.0013,0.05,0.17913127055230238,338
0.25,256,2,6,80,0.0005,0.01,0.17907185446693313,631
0.25,256,3,6,80,0.0007,0.05,0.1790445928746251,652
0.25,128,2,6,80,0.0013,0.01,0.17904458633884163,579
0.15,300,3,6,80,0.0009,0.05,0.17903831352309912,354
0.25,300,3,6,80,0.0005,0.01,0.1789653293694098,711
0.1,300,2,6,80,0.0011,0.01,0.17894850600055698,157
0.3,300,2,6,80,0.0013,0.01,0.17893795438694454,879
0.15,300,1,6,80,0.0009,0.01,0.17893230843997576,315
0.3,128,2,4,80,0.0011,0.05,0.17892534713111732,746
0.25,256,2,4,80,0.0011,0.05,0.17891789957638624,626
0.25,256,1,6,80,0.0011,0.05,0.17891546429495608,616
0.2,300,3,6,80,0.0005,0.05,0.17890896806217482,530
0.2,256,2,6,80,0.0007,0.05,0.17889282118744243,452
0.15,256,3,6,80,0.0009,0.01,0.17889244741438567,295
0.25,256,2,6,80,0.0007,0.05,0.17887887785097376,632
0.3,300,1,4,80,0.0013,0.05,0.17887813109201037,848
0.15,300,3,4,80,0.0007,0.05,0.1788672778120502,342
0.15,256,1,4,80,0.0007,0.01,0.1788625700359296,243
0.2,300,2,6,80,0.0011,0.05,0.17882910809970876,516
0.15,256,2,6,80,0.0009,0.01,0.17879645592775842,275
0.15,300,2,6,80,0.0011,0.01,0.17877634216745492,337
0.15,300,2,4,80,0.0013,0.05,0.17877218741036502,328
0.25,256,3,4,80,0.0011,0.05,0.17873841305582838,646
0.1,300,1,6,80,0.0007,0.01,0.17873708344593756,133
0.2,300,1,6,80,0.0007,0.05,0.17873069001303177,492
0.1,256,3,4,80,0.0005,0.01,0.17871571103752507,101
0.1,300,1,4,80,0.0013,0.01,0.17871125764749235,129
0.25,256,2,6,80,0.0005,0.05,0.1786845316997683,630
0.3,256,1,4,80,0.0011,0.05,0.17864349817861647,786
0.1,128,3,6,80,0.0011,0.05,0.17862048942274053,56
0.1,300,2,4,80,0.0009,0.05,0.17861519314634014,144
