model,logisticregression__C,logisticregression__fit_intercept,logisticregression__max_iter,logisticregression__solver,score,max_depth,max_features,min_samples_leaf,min_samples_split,n_estimators,colsample_bytree,learning_rate,min_child_weight,reg_lambda,subsample,kneighborsclassifier__n_neighbors,kneighborsclassifier__p,kneighborsclassifier__weights,linearsvc__C,linearsvc__class_weight,linearsvc__dual,linearsvc__fit_intercept,linearsvc__max_iter,activation,alpha,hidden_layer_sizes,learning_rate_init,max_iter,solver,algorithm
gradient_boosting,,,,,0.1332324038034423,1.0,sqrt,,,441.0,,0.045000000000000005,,,0.7200000000000001,,,,,,,,,,,,,,,
gradient_boosting,,,,,0.13318008401195597,1.0,,,,200.0,,0.1,,,0.8,,,,,,,,,,,,,,,
gradient_boosting,,,,,0.13310743203655007,1.0,,,,200.0,,0.045000000000000005,,,0.8,,,,,,,,,,,,,,,
adaboost,,,,,0.1330554711873082,,,,,221.0,,0.45,,,,,,,,,,,,,,,,,,SAMME
adaboost,,,,,0.1330459949787166,,,,,200.0,,0.45,,,,,,,,,,,,,,,,,,SAMME
linear_svc,,,,,0.13303051577678315,,,,,,,,,,,,,,0.45,,True,True,1500.0,,,,,,,
gradient_boosting,,,,,0.13301032539746277,3.0,log2,,,180.0,,0.045000000000000005,,,0.8,,,,,,,,,,,,,,,
linear_svc,,,,,0.1330059689255959,,,,,,,,,,,,,,0.5,,False,False,900.0,,,,,,,
linear_svc,,,,,0.13300593846875414,,,,,,,,,,,,,,0.45,,False,False,900.0,,,,,,,
linear_svc,,,,,0.13300576320677604,,,,,,,,,,,,,,1.0,,False,False,900.0,,,,,,,
linear_svc,,,,,0.13300575097623774,,,,,,,,,,,,,,2.2,,False,False,900.0,,,,,,,
linear_svc,,,,,0.13300575097623774,,,,,,,,,,,,,,2.0,,False,False,900.0,,,,,,,
linear_svc,,,,,0.13291614157479026,,,,,,,,,,,,,,0.5,,True,True,1500.0,,,,,,,
adaboost,,,,,0.13288877350467232,,,,,200.0,,0.5,,,,,,,,,,,,,,,,,,SAMME
adaboost,,,,,0.13287232825125464,,,,,90.0,,0.5,,,,,,,,,,,,,,,,,,SAMME
adaboost,,,,,0.13286681964735925,,,,,100.0,,0.5,,,,,,,,,,,,,,,,,,SAMME
adaboost,,,,,0.1328581535090535,,,,,200.0,,1.1,,,,,,,,,,,,,,,,,,SAMME
adaboost,,,,,0.13284203857770366,,,,,221.0,,1.1,,,,,,,,,,,,,,,,,,SAMME
linear_svc,,,,,0.1328256103114726,,,,,,,,,,,,,,1.0,,True,True,1500.0,,,,,,,
linear_svc,,,,,0.13282547417799564,,,,,,,,,,,,,,0.45,,True,False,1651.0,,,,,,,
gradient_boosting,,,,,0.13270525469445585,1.0,sqrt,,,441.0,,0.1,,,0.7200000000000001,,,,,,,,,,,,,,,
adaboost,,,,,0.13267808372115203,,,,,221.0,,0.5,,,,,,,,,,,,,,,,,,SAMME
linear_svc,,,,,0.13265315572651237,,,,,,,,,,,,,,0.5,,True,False,1651.0,,,,,,,
adaboost,,,,,0.13253930464896493,,,,,221.0,,1.0,,,,,,,,,,,,,,,,,,SAMME
adaboost,,,,,0.13253452416066963,,,,,200.0,,1.0,,,,,,,,,,,,,,,,,,SAMME
extra_trees,,,,,0.1325078487355791,8.0,sqrt,4.0,5.0,441.0,,,,,,,,,,,,,,,,,,,,
linear_svc,,,,,0.1324720029840687,,,,,,,,,,,,,,1.0,,True,False,1651.0,,,,,,,
logistic_regression,0.225,False,180.0,lbfgs,0.13241491441450087,,,,,,,,,,,,,,,,,,,,,,,,,
logistic_regression,0.225,False,400.0,lbfgs,0.13241491441450087,,,,,,,,,,,,,,,,,,,,,,,,,
logistic_regression,0.225,False,200.0,lbfgs,0.13241491441450087,,,,,,,,,,,,,,,,,,,,,,,,,
logistic_regression,4.4,False,200.0,lbfgs,0.1324144514488284,,,,,,,,,,,,,,,,,,,,,,,,,
logistic_regression,4.4,False,180.0,lbfgs,0.1324144514488284,,,,,,,,,,,,,,,,,,,,,,,,,
logistic_regression,4.4,False,400.0,lbfgs,0.1324144514488284,,,,,,,,,,,,,,,,,,,,,,,,,
logistic_regression,0.25,False,200.0,lbfgs,0.13241432245115023,,,,,,,,,,,,,,,,,,,,,,,,,
logistic_regression,0.25,False,180.0,lbfgs,0.13241432245115023,,,,,,,,,,,,,,,,,,,,,,,,,
logistic_regression,0.25,False,400.0,lbfgs,0.13241432245115023,,,,,,,,,,,,,,,,,,,,,,,,,
logistic_regression,4.0,False,200.0,lbfgs,0.13241431127110787,,,,,,,,,,,,,,,,,,,,,,,,,
logistic_regression,4.0,False,400.0,lbfgs,0.13241431127110787,,,,,,,,,,,,,,,,,,,,,,,,,
logistic_regression,4.0,False,180.0,lbfgs,0.13241431127110787,,,,,,,,,,,,,,,,,,,,,,,,,
logistic_regression,1.0,False,200.0,lbfgs,0.13241387498600848,,,,,,,,,,,,,,,,,,,,,,,,,
logistic_regression,1.0,False,400.0,lbfgs,0.13241387498600848,,,,,,,,,,,,,,,,,,,,,,,,,
logistic_regression,1.0,False,180.0,lbfgs,0.13241387498600848,,,,,,,,,,,,,,,,,,,,,,,,,
gradient_boosting,,,,,0.13241199177735113,2.0,sqrt,,,180.0,,0.05,,,0.8,,,,,,,,,,,,,,,
logistic_regression,0.225,True,200.0,lbfgs,0.1323991383802945,,,,,,,,,,,,,,,,,,,,,,,,,
logistic_regression,0.225,True,180.0,lbfgs,0.1323991383802945,,,,,,,,,,,,,,,,,,,,,,,,,
logistic_regression,0.225,True,400.0,lbfgs,0.1323991383802945,,,,,,,,,,,,,,,,,,,,,,,,,
logistic_regression,0.25,True,180.0,lbfgs,0.13239911765534348,,,,,,,,,,,,,,,,,,,,,,,,,
logistic_regression,0.25,True,200.0,lbfgs,0.13239911765534348,,,,,,,,,,,,,,,,,,,,,,,,,
logistic_regression,0.25,True,400.0,lbfgs,0.13239911765534348,,,,,,,,,,,,,,,,,,,,,,,,,
logistic_regression,1.0,True,180.0,lbfgs,0.13239839124912955,,,,,,,,,,,,,,,,,,,,,,,,,
logistic_regression,1.0,True,200.0,lbfgs,0.13239839124912955,,,,,,,,,,,,,,,,,,,,,,,,,
logistic_regression,1.0,True,400.0,lbfgs,0.13239839124912955,,,,,,,,,,,,,,,,,,,,,,,,,
logistic_regression,4.0,True,400.0,lbfgs,0.13239813926980104,,,,,,,,,,,,,,,,,,,,,,,,,
logistic_regression,4.0,True,180.0,lbfgs,0.13239813926980104,,,,,,,,,,,,,,,,,,,,,,,,,
logistic_regression,4.0,True,200.0,lbfgs,0.13239813926980104,,,,,,,,,,,,,,,,,,,,,,,,,
logistic_regression,4.4,True,400.0,lbfgs,0.13239795884108593,,,,,,,,,,,,,,,,,,,,,,,,,
logistic_regression,4.4,True,200.0,lbfgs,0.13239795884108593,,,,,,,,,,,,,,,,,,,,,,,,,
logistic_regression,4.4,True,180.0,lbfgs,0.13239795884108593,,,,,,,,,,,,,,,,,,,,,,,,,
adaboost,,,,,0.132397869033947,,,,,100.0,,1.1,,,,,,,,,,,,,,,,,,SAMME
adaboost,,,,,0.13238244716425368,,,,,90.0,,1.1,,,,,,,,,,,,,,,,,,SAMME
gradient_boosting,,,,,0.13238161454715675,1.0,log2,,,400.0,,0.11000000000000001,,,0.7200000000000001,,,,,,,,,,,,,,,
extra_trees,,,,,0.13233333686578883,7.0,sqrt,1.0,5.0,441.0,,,,,,,,,,,,,,,,,,,,
linear_svc,,,,,0.13231434209331158,,,,,,,,,,,,,,0.5,balanced,True,False,1651.0,,,,,,,
gradient_boosting,,,,,0.13231041905904878,2.0,log2,,,441.0,,0.05,,,0.7200000000000001,,,,,,,,,,,,,,,
adaboost,,,,,0.13230608005460504,,,,,100.0,,0.45,,,,,,,,,,,,,,,,,,SAMME
linear_svc,,,,,0.13227575621318372,,,,,,,,,,,,,,2.2,balanced,True,True,1500.0,,,,,,,
gradient_boosting,,,,,0.1322527393728179,2.0,sqrt,,,441.0,,0.045000000000000005,,,1.0,,,,,,,,,,,,,,,
gradient_boosting,,,,,0.13224966818363568,1.0,log2,,,400.0,,0.05,,,0.7200000000000001,,,,,,,,,,,,,,,
extra_trees,,,,,0.13224482211947186,7.0,sqrt,4.0,5.0,441.0,,,,,,,,,,,,,,,,,,,,
linear_svc,,,,,0.1322272148733109,,,,,,,,,,,,,,0.45,balanced,True,True,1500.0,,,,,,,
linear_svc,,,,,0.13221404526419744,,,,,,,,,,,,,,2.2,balanced,False,False,900.0,,,,,,,
linear_svc,,,,,0.1322140295369569,,,,,,,,,,,,,,2.0,balanced,False,False,900.0,,,,,,,
linear_svc,,,,,0.1322138994316624,,,,,,,,,,,,,,1.0,balanced,False,False,900.0,,,,,,,
linear_svc,,,,,0.13221389013891688,,,,,,,,,,,,,,0.5,balanced,False,False,900.0,,,,,,,
linear_svc,,,,,0.13221387673776316,,,,,,,,,,,,,,0.45,balanced,False,False,900.0,,,,,,,
linear_svc,,,,,0.13220231594857593,,,,,,,,,,,,,,1.0,balanced,True,True,1500.0,,,,,,,
random_forest,,,,,0.1321797204609491,8.0,log2,6.0,5.0,441.0,,,,,,,,,,,,,,,,,,,,
linear_svc,,,,,0.13211748571144574,,,,,,,,,,,,,,0.5,balanced,True,True,1500.0,,,,,,,
linear_svc,,,,,0.13211223550038287,,,,,,,,,,,,,,2.0,balanced,True,False,1651.0,,,,,,,
extra_trees,,,,,0.1320528037753075,8.0,sqrt,1.0,5.0,441.0,,,,,,,,,,,,,,,,,,,,
linear_svc,,,,,0.13192704704006908,,,,,,,,,,,,,,0.45,balanced,True,False,1651.0,,,,,,,
gradient_boosting,,,,,0.13180214885830885,2.0,sqrt,,,180.0,,0.11000000000000001,,,0.8,,,,,,,,,,,,,,,
